Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR26992516,2023-11-30 02:19:49,2023-11-30 02:14:05,18766350,938317500,0,50,399,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR026/26992/SRR26992516/SRR26992516.lite.1,SRX22685534,2234031054062,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP466640,PRJNA1028672,,1028672,SRS19679029,SAMN38505485,simple,646099,human metagenome,2234031054062,,,,,,,no,,,,,"SHANGHAI JIAO TONG UNIVERSITY, SCHOOL OF MEDICINE",SRA1760114,,public,47EF2EFB8AC91ADA6AB50A00472812ED,E0015C12C5F811372D49224E5C15284D
SRR26992515,2023-11-30 02:28:10,2023-11-30 02:22:56,58204802,2910240100,0,50,1187,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR026/26992/SRR26992515/SRR26992515.lite.1,SRX22685535,2234031057285,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP466640,PRJNA1028672,,1028672,SRS19679030,SAMN38505486,simple,646099,human metagenome,2234031057285,,,,,,,no,,,,,"SHANGHAI JIAO TONG UNIVERSITY, SCHOOL OF MEDICINE",SRA1760114,,public,A75911CADC4FF7CE77647BCC694FCB1E,C445145A03D64F56D8F225A3A89CBE45
SRR26992514,2023-11-30 02:17:13,2023-11-30 02:12:21,557355,128846857,557355,231,45,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR026/26992/SRR26992514/SRR26992514.lite.1,SRX22685536,HC0312676-TR173,WGS,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP466640,PRJNA1028672,,1028672,SRS19679023,SAMN38505487,simple,646099,human metagenome,HC0312676-TR173,,,,,,,no,,,,,"SHANGHAI JIAO TONG UNIVERSITY, SCHOOL OF MEDICINE",SRA1760114,,public,1984B243D79ECFE0717819ECEE461CE1,594EE30F1D580C30CF01BD6D2C33AD03
SRR26992513,2023-11-30 02:13:20,2023-11-30 02:11:50,859530,194779971,859530,226,77,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR026/26992/SRR26992513/SRR26992513.lite.1,SRX22685537,R22032954-TR9,WGS,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP466640,PRJNA1028672,,1028672,SRS19679024,SAMN38505488,simple,646099,human metagenome,R22032954-TR9,,,,,,,no,,,,,"SHANGHAI JIAO TONG UNIVERSITY, SCHOOL OF MEDICINE",SRA1760114,,public,A674756A9518C889FCDDFB10EBBA5D72,B40CD22183D421A3EFE634E73C21C933
SRR26992512,2023-11-30 02:17:13,2023-11-30 02:12:00,1720901,389282523,1720901,226,169,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR026/26992/SRR26992512/SRR26992512.lite.1,SRX22685538,R22032955-TR12,WGS,unspecified,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP466640,PRJNA1028672,,1028672,SRS19679025,SAMN38505489,simple,646099,human metagenome,R22032955-TR12,,,,,,,no,,,,,"SHANGHAI JIAO TONG UNIVERSITY, SCHOOL OF MEDICINE",SRA1760114,,public,05EF1DA6209AE5C5A0AD580630356517,B9425139E908E89FEFEA069C1EDAAB31
SRR26992519,2023-11-30 02:19:48,2023-11-30 02:16:51,17595693,879784650,0,50,363,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR026/26992/SRR26992519/SRR26992519.lite.1,SRX22685531,2180931301822,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP466640,PRJNA1028672,,1028672,SRS19679026,SAMN38505482,simple,646099,human metagenome,2180931301822,,,,,,,no,,,,,"SHANGHAI JIAO TONG UNIVERSITY, SCHOOL OF MEDICINE",SRA1760114,,public,1FA43FF8302E66D2089B98FAE1CC3EB5,57004C45DAFD86DA8C99D41AFFABA279
SRR26992518,2023-11-30 02:19:49,2023-11-30 02:14:41,23044034,1152201700,0,50,490,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR026/26992/SRR26992518/SRR26992518.lite.1,SRX22685532,2234031051696,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP466640,PRJNA1028672,,1028672,SRS19679027,SAMN38505483,simple,646099,human metagenome,2234031051696,,,,,,,no,,,,,"SHANGHAI JIAO TONG UNIVERSITY, SCHOOL OF MEDICINE",SRA1760114,,public,F8F0138C9BA0BF643541B1A8279D2F92,0A948D050DEB6A05A1B7E418FD59DB60
SRR26992517,2023-11-30 02:19:49,2023-11-30 02:15:22,31224960,1561248000,0,50,639,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR026/26992/SRR26992517/SRR26992517.lite.1,SRX22685533,2234031052914,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP466640,PRJNA1028672,,1028672,SRS19679028,SAMN38505484,simple,646099,human metagenome,2234031052914,,,,,,,no,,,,,"SHANGHAI JIAO TONG UNIVERSITY, SCHOOL OF MEDICINE",SRA1760114,,public,13B08BAF3EB0768BC22EE9AE7CD85B45,F861AF464C9CB43EC976992CA91E7C19
SRR26992520,2023-11-30 02:19:48,2023-11-30 02:13:30,55463,5699683,0,102,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR026/26992/SRR26992520/SRR26992520.lite.1,SRX22685530,HC0317109-TR432_SE,WGS,unspecified,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP466640,PRJNA1028672,,1028672,SRS19679022,SAMN38505491,simple,646099,human metagenome,HC0317109-TR432,,,,,,,no,,,,,"SHANGHAI JIAO TONG UNIVERSITY, SCHOOL OF MEDICINE",SRA1760114,,public,CCD7F3CB3B2318B3F1415EE45860EE5B,67ECF7495F6A1A8ED7D2B784184C23F7
SRR26992521,2023-11-30 02:19:48,2023-11-30 02:13:59,4196757,293517838,0,69,142,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR026/26992/SRR26992521/SRR26992521.lite.1,SRX22685529,R22032957-TR23_SE,WGS,unspecified,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP466640,PRJNA1028672,,1028672,SRS19679021,SAMN38505490,simple,646099,human metagenome,R22032957-TR23,,,,,,,no,,,,,"SHANGHAI JIAO TONG UNIVERSITY, SCHOOL OF MEDICINE",SRA1760114,,public,DD197C4648ECC8638D06AD81723CC69F,3DB3AE2FF61D41EC2D18DC790A82DAE6
